"Year","County.Code","County","CO","NO2","SO2","O3","PM2.5","PM10","Spending.Per.Capita.Mean","Median.Household.Income"
2012,18097,"Marion County, IN",2.4,10,4,0.082,11.7,30,6532.41,46306.8424627975
2012,18163,"Vanderburgh County, IN",4.7,7,1,0.08,11,18,6638.95,46527.3194215729
2012,19153,"Polk County, IA",1.2,8,0,0.068,9.2,23,7194.36,64519.5754816384
2012,19163,"Scott County, IA",0.8,8,1,0.072,10.4,44,6572.07,59367.3184702556
2012,20209,"Wyandotte County, KS",1.9,12,3,0.082,9.5,30,5478.04,42068.785366337
2012,22033,"East Baton Rouge Parish, LA",1.7,11,1,0.075,10.3,25,6766.29,52768.598986907
2012,24033,"Prince George's County, MD",0.9,9,1,0.09,11.3,12,6070.05,77120.1677316508
2012,25013,"Hampden County, MA",1.5,14,2,0.074,9,14,7563.54,53878.7784207407
2012,25025,"Suffolk County, MA",1.6,19,2,0.067,9.5,17,6725.58,56660.351365291
2012,25027,"Worcester County, MA",1.7,13,3,0.07,8.8,18,8273.72,69392.3389745736
2012,26163,"Wayne County, MI",2.3,19,4,0.083,12.3,25,5860.76,43940.6124759403
2012,29510,"St. Louis City, MO",1.2,14,3,0.087,11.1,46,5891.41,35726.1754815658
2012,32003,"Clark County, NV",3.1,14,1,0.075,8.3,28,4998.41,55211.6618533374
2012,32031,"Washoe County, NV",2.3,14,0,0.072,9.1,30,4715.27,55062.4501741662
2012,34017,"Hudson County, NJ",2.5,16,1,0.074,10.9,30,4980.56,62453.9958931113
2012,35001,"Bernalillo County, NM",2.2,14,1,0.077,7.4,26,5920.28,51444.6237142607
2012,37067,"Forsyth County, NC",1.2,9,0,0.079,8.9,13,6756.99,47935.9222137491
2012,37119,"Mecklenburg County, NC",1.5,9,0,0.085,9.6,18,5465.06,61680.0994974097
2012,38017,"Cass County, ND",0.4,5,0,0.063,7.5,21,6623.66,57897.4720784196
2012,39035,"Cuyahoga County, OH",4.6,14,5,0.087,12.3,51,7282.98,46716.6178205215
2012,40109,"Oklahoma County, OK",0.6,9,0,0.081,9.8,25,6557.62,48575.082690199
2012,41051,"Multnomah County, OR",2.1,9,1,0.06,7.3,15,5160.43,57435.3612809863
2012,42003,"Allegheny County, PA",1.7,14,7,0.085,14.9,27,7816.54,56601.3348056188
2012,42095,"Northampton County, PA",1.4,9,2,0.073,12.4,17,8249.66,61781.4298168469
2012,42101,"Philadelphia County, PA",1.5,18,2,0.085,10.3,19,6529.16,39550.0031403271
2012,42125,"Washington County, PA",1.2,8,2,0.076,10.6,17,7319.43,59623.4280688331
2012,42133,"York County, PA",1.2,12,1,0.079,12.1,17,7709.91,61962.9335758388
2012,44007,"Providence County, RI",1,10,1,0.079,7.8,14,6414.69,53004.6652255958
2012,46099,"Minnehaha County, SD",0.8,6,0,0.072,8.7,20,7108.47,54486.7603373638
2012,46127,"Union County, SD",0.3,6,0,0.068,9.9,22,5759.05,72124.917039396
2012,48141,"El Paso County, TX",3.9,16,1,0.074,9.9,28,4088.7,44643.2435920377
2012,48201,"Harris County, TX",1.9,14,1,0.086,12.7,39,5718.25,57121.3486427304
2012,49035,"Salt Lake County, UT",1.8,16,1,0.078,8.9,29,4567.05,65411.5049966844
2012,49047,"Uintah County, UT",1.5,7,0,0.072,5.2,15,3740.64,67277.7645063186
2012,51087,"Henrico County, VA",1.1,10,1,0.078,8.7,14,7175.51,65389.2345968081
2012,51650,"Hampton City, VA",0.9,5,1,0.074,7.7,12,5409.02,52564.8248280388
2012,56021,"Laramie County, WY",0.3,4,0,0.068,5.7,13,6891.7,60128.9661460252
2012,56037,"Sweetwater County, WY",1,5,0,0.065,6.8,26,5767.1,72097.0790395506
2013,4013,"Maricopa County, AZ",2.7,25,1,0.079,10.5,40,5360.75,57139.5334526925
2013,4019,"Pima County, AZ",1.1,11,0,0.074,6.8,37,5534.55,48206.3370806855
2013,5119,"Pulaski County, AR",1.1,10,2,0.07,11,20,5787.09,51059.6921872233
2013,6013,"Contra Costa County, CA",1,10,1,0.065,12,17,7385.44,86598.2300391524
2013,6019,"Fresno County, CA",2.2,14,1,0.095,17.1,45,4812.48,48003.3098904126
2013,6023,"Humboldt County, CA",0.8,3,0,0.046,6.7,19,5634.74,44865.7167174927
2013,6037,"Los Angeles County, CA",3.4,23,1,0.094,12.6,33,5672.25,59748.1584866311
2013,6065,"Riverside County, CA",1.6,16,0,0.1,14,54,6220.07,59162.1232455191
2013,6067,"Sacramento County, CA",2.4,10,1,0.079,11.3,23,5551.36,58142.5975170677
2013,6071,"San Bernardino County, CA",4.2,21,1,0.104,12.3,41,5099.81,57190.0158891927
2013,6073,"San Diego County, CA",2.3,19,0,0.078,10.6,25,6494.81,67344.6677356523
2013,6083,"Santa Barbara County, CA",1,10,1,0.065,8.9,21,5784.47,66727.9040549314
2013,6085,"Santa Clara County, CA",2.1,15,0,0.067,12.4,21,5830.66,100792.574249907
2013,6095,"Solano County, CA",2,10,1,0.064,11.3,13,7125.75,69575.7719401106
2013,8001,"Adams County, CO",2.1,17,1,0.076,8.7,29,5735.51,60223.3518562968
2013,8031,"Denver County, CO",2.5,24,2,0.071,8.5,34,5735.51,56140.8591654042
2013,9001,"Fairfield County, CT",1.8,9,1,0.09,8.7,16,7587.93,89788.5005371161
2013,9005,"Litchfield County, CT",0.6,2,0,0.068,5.2,7,7611.28,77390.6725992091
2013,9009,"New Haven County, CT",1.4,14,1,0.085,8.8,15,8101.53,64389.2503118421
2013,11001,"District of Columbia",2.5,12,1,0.066,11.6,17,10802.15,72789.0887677809
2013,13089,"DeKalb County, GA",1.2,9,0,0.062,9.8,18,5151.3,54755.8844944616
2013,15003,"Honolulu County, HI",1.2,3,2,0.047,6.2,19,5847.98,79728.2288980266
2013,18089,"Lake County, IN",1.4,12,4,0.064,11.3,25,7305.91,53051.5535404411
2013,18097,"Marion County, IN",2.2,12,3,0.069,11.5,25,6230.99,45519.7935034529
2013,18163,"Vanderburgh County, IN",4.8,8,1,0.068,10.8,14,6439.82,46108.0236331084
2013,19153,"Polk County, IA",1.3,9,0,0.059,9,20,7098.53,65175.0204104118
2013,19163,"Scott County, IA",0.7,7,1,0.06,10.4,44,6357.68,59749.2559309029
2013,22033,"East Baton Rouge Parish, LA",1.8,10,1,0.067,9.9,23,6867.88,52424.9128612745
2013,25013,"Hampden County, MA",1.3,14,1,0.071,7.9,14,7531.52,53291.8938359533
2013,25025,"Suffolk County, MA",1.2,18,2,0.071,8.8,19,6585.4,59441.9715348142
2013,25027,"Worcester County, MA",1.3,12,3,0.07,7.2,18,8062.54,68335.6599130383
2013,26163,"Wayne County, MI",1.6,18,3,0.067,11,23,6544.8,44430.0313416098
2013,29510,"St. Louis City, MO",1,14,2,0.066,11.1,32,5803.98,37692.8209573652
2013,32003,"Clark County, NV",2.9,14,2,0.075,10.8,28,4963.83,56047.5764023059
2013,32031,"Washoe County, NV",2.4,16,1,0.069,10.4,38,4914.4,58784.6024160387
2013,35001,"Bernalillo County, NM",1.1,12,1,0.07,8.7,27,5735.64,52735.4895901784
2013,37067,"Forsyth County, NC",1.7,6,0,0.066,8.3,12,6780.64,50661.3199165798
2013,37119,"Mecklenburg County, NC",1.6,8,0,0.067,9.1,19,5344.77,59983.0115607846
2013,39035,"Cuyahoga County, OH",4.6,13,3,0.069,12.2,41,7321.35,47906.734794499
2013,39061,"Hamilton County, OH",0.9,12,3,0.069,11.6,22,6772.03,51714.8664174553
2013,40109,"Oklahoma County, OK",0.8,9,0,0.073,9.1,20,6497.2,50469.2671690243
2013,40143,"Tulsa County, OK",1,8,2,0.072,9.3,19,6560.31,52767.3154740591
2013,41051,"Multnomah County, OR",1.8,10,1,0.053,8.7,13,5043.37,58849.3516280717
2013,42003,"Allegheny County, PA",1.5,11,4,0.076,12,24,7465,56408.6355677101
